	MimoText_ID	BGRF_ID	FrLabel	enLabel	DeLabel	Concept
0	Abbes_Voyage	58.5	Topic 26:art	Topic 26:art	Topic 26:Kunst	art
1	Abbes_Voyage	58.5	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	[temps paraître encore]
2	Abbes_Voyage	58.5	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	attraction
3	Abbes_Voyage	58.5	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	personnalité
4	Abbes_Voyage	58.5	Topic 24:mort	Topic 24:death	Topic 24:Tod	mort
5	Abbes_Voyage	58.5	Topic 7:nature	Topic 7:nature	Topic 7:Natur	nature
6	Anonym_Suzon	83.9	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	[temps paraître encore]
7	Anonym_Suzon	83.9	Topic 28:nuit	Topic 28:night	Topic 28:Nacht	nuit
8	Anonym_Suzon	83.9	Topic 18:[point voir jour]	Topic 18:[point voir jour]	Topic 18:[point voir jour]	[point voir jour]
9	Anonym_Suzon	83.9	Topic 3:relation amoureuse	Topic 3:romantic relationship	Topic 3:Liebesbeziehung	relation amoureuse
10	Anonym_Suzon	83.9	Topic 14:interaction	Topic 14:interaction	Topic 14:Interaktion	interaction
11	Anonyme_Zoloe	00.37	Topic 3:relation amoureuse	Topic 3:romantic relationship	Topic 3:Liebesbeziehung	relation amoureuse
12	Anonyme_Zoloe	00.37	Topic 24:mort	Topic 24:death	Topic 24:Tod	mort
13	Anonyme_Zoloe	00.37	Topic 6:locus amoenus_pastorale en littérature 	Topic 6:locus amoenus_pastorale in litterature	Topic 6:Locus amoenus_Pastorale in der Literatur	locus amoenus
14	Anonyme_Zoloe	00.37	Topic 6:locus amoenus_pastorale en littérature 	Topic 6:locus amoenus_pastorale in litterature	Topic 6:Locus amoenus_Pastorale in der Literatur	pastorale en littérature 
15	Anonyme_Zoloe	00.37	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	attraction
16	Anonyme_Zoloe	00.37	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	personnalité
17	Anonyme_Zoloe	00.37	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	[temps paraître encore]
18	Arnaud_Epoux	83.15	Topic 14:interaction	Topic 14:interaction	Topic 14:Interaktion	interaction
19	Arnaud_Epoux	83.15	Topic 16:deuil	Topic 16:mourning	Topic 16:Trauer	deuil
20	Arnaud_Epoux	83.15	Topic 5:amour_sentiment 	Topic 5:love_sentiment 	Topic 5:Liebe_Gefühl	amour
21	Arnaud_Epoux	83.15	Topic 5:amour_sentiment 	Topic 5:love_sentiment 	Topic 5:Liebe_Gefühl	sentiment
22	Arnaud_Epoux	83.15	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	[temps paraître encore]
23	Arnaud_Epoux	83.15	Topic 15:crime	Topic 15:crime	Topic 15:Verbrechen	crime
24	Arnaud_Sentiment	70.21	Topic 16:deuil	Topic 16:mourning	Topic 16:Trauer	deuil
25	Arnaud_Sentiment	70.21	Topic 5:amour_sentiment 	Topic 5:love_sentiment 	Topic 5:Liebe_Gefühl	amour
26	Arnaud_Sentiment	70.21	Topic 5:amour_sentiment 	Topic 5:love_sentiment 	Topic 5:Liebe_Gefühl	sentiment
27	Arnaud_Sentiment	70.21	Topic 15:crime	Topic 15:crime	Topic 15:Verbrechen	crime
28	Arnaud_Sentiment	70.21	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	[temps paraître encore]
29	Arnaud_Sentiment	70.21	Topic 23:famille	Topic 23:family	Topic 23:Familie	famille
30	Beauharnais_Lettres	78.1	Topic 5:amour_sentiment 	Topic 5:love_sentiment 	Topic 5:Liebe_Gefühl	amour
31	Beauharnais_Lettres	78.1	Topic 5:amour_sentiment 	Topic 5:love_sentiment 	Topic 5:Liebe_Gefühl	sentiment
32	Beauharnais_Lettres	78.1	Topic 16:deuil	Topic 16:mourning	Topic 16:Trauer	deuil
33	Beauharnais_Lettres	78.1	Topic 21:bonheur	Topic 21:happiness	Topic 21:Glück	bonheur
34	Beauharnais_Lettres	78.1	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	[temps paraître encore]
35	Beauharnais_Lettres	78.1	Topic 14:interaction	Topic 14:interaction	Topic 14:Interaktion	interaction
36	Beaumont_Clarice	67.36	Topic 23:famille	Topic 23:family	Topic 23:Familie	famille
37	Beaumont_Clarice	67.36	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	[temps paraître encore]
38	Beaumont_Clarice	67.36	Topic 21:bonheur	Topic 21:happiness	Topic 21:Glück	bonheur
39	Beaumont_Clarice	67.36	Topic 14:interaction	Topic 14:interaction	Topic 14:Interaktion	interaction
40	Beaumont_Clarice	67.36	Topic 1:richesse	Topic 1:wealth	Topic 1:Reichtum	richesse
41	Beckford_Vathek	87.25	Topic 7:nature	Topic 7:nature	Topic 7:Natur	nature
42	Beckford_Vathek	87.25	Topic 24:mort	Topic 24:death	Topic 24:Tod	mort
43	Beckford_Vathek	87.25	Topic 28:nuit	Topic 28:night	Topic 28:Nacht	nuit
44	Beckford_Vathek	87.25	Topic 9:alimentation_sociabilité 	Topic 9:aliment_sociability	Topic 9:Nahrung_Soziabilität 	alimentation
45	Beckford_Vathek	87.25	Topic 9:alimentation_sociabilité 	Topic 9:aliment_sociability	Topic 9:Nahrung_Soziabilität 	sociabilité
46	Beckford_Vathek	87.25	Topic 3:relation amoureuse	Topic 3:romantic relationship	Topic 3:Liebesbeziehung	relation amoureuse
47	Benoist_Elisabeth	66.11	Topic 11:correspondance	Topic 11:correspondence	Topic 11:Korrespondenz	correspondance
48	Benoist_Elisabeth	66.11	Topic 5:amour_sentiment 	Topic 5:love_sentiment 	Topic 5:Liebe_Gefühl	amour
49	Benoist_Elisabeth	66.11	Topic 5:amour_sentiment 	Topic 5:love_sentiment 	Topic 5:Liebe_Gefühl	sentiment
50	Benoist_Elisabeth	66.11	Topic 14:interaction	Topic 14:interaction	Topic 14:Interaktion	interaction
51	Benoist_Elisabeth	66.11	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	[temps paraître encore]
52	Benoist_Elisabeth	66.11	Topic 18:[point voir jour]	Topic 18:[point voir jour]	Topic 18:[point voir jour]	[point voir jour]
53	Benouville_Pensees	58.8	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	[temps paraître encore]
54	Benouville_Pensees	58.8	Topic 25:[point voir moins]	Topic 25:[point voir moins]	Topic 25:[point voir moins]	[point voir moins]
55	Benouville_Pensees	58.8	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	attraction
56	Benouville_Pensees	58.8	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	personnalité
57	Benouville_Pensees	58.8	Topic 20:religion	Topic 20:religion	Topic 20:Religion	religion
58	Benouville_Pensees	58.8	Topic 10:philosophie	Topic 10:philosophy	Topic 10:Philosophie	philosophie
59	Bernardin_Paul	88.101	Topic 7:nature	Topic 7:nature	Topic 7:Natur	nature
60	Bernardin_Paul	88.101	Topic 21:bonheur	Topic 21:happiness	Topic 21:Glück	bonheur
61	Bernardin_Paul	88.101	Topic 26:art	Topic 26:art	Topic 26:Kunst	art
62	Bernardin_Paul	88.101	Topic 24:mort	Topic 24:death	Topic 24:Tod	mort
63	Bernardin_Paul	88.101	Topic 23:famille	Topic 23:family	Topic 23:Familie	famille
64	Berquin_Enfants	82.14	Topic 9:alimentation_sociabilité 	Topic 9:aliment_sociability	Topic 9:Nahrung_Soziabilität 	alimentation
65	Berquin_Enfants	82.14	Topic 9:alimentation_sociabilité 	Topic 9:aliment_sociability	Topic 9:Nahrung_Soziabilität 	sociabilité
66	Berquin_Enfants	82.14	Topic 28:nuit	Topic 28:night	Topic 28:Nacht	nuit
67	Berquin_Enfants	82.14	Topic 23:famille	Topic 23:family	Topic 23:Familie	famille
68	Berquin_Enfants	82.14	Topic 7:nature	Topic 7:nature	Topic 7:Natur	nature
69	Berquin_Enfants	82.14	Topic 21:bonheur	Topic 21:happiness	Topic 21:Glück	bonheur
70	Cazotte_Diable	72.17	Topic 28:nuit	Topic 28:night	Topic 28:Nacht	nuit
71	Cazotte_Diable	72.17	Topic 24:mort	Topic 24:death	Topic 24:Tod	mort
72	Cazotte_Diable	72.17	Topic 12:migration_voyage 	Topic 12:migration_travel 	Topic 12:Migration_Reise	migration
73	Cazotte_Diable	72.17	Topic 12:migration_voyage 	Topic 12:migration_travel 	Topic 12:Migration_Reise	voyage
74	Cazotte_Diable	72.17	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	attraction
75	Cazotte_Diable	72.17	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	personnalité
76	Cazotte_Diable	72.17	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	[temps paraître encore]
77	Charriere_Femmes	96.18	Topic 28:nuit	Topic 28:night	Topic 28:Nacht	nuit
78	Charriere_Femmes	96.18	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	attraction
79	Charriere_Femmes	96.18	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	personnalité
80	Charriere_Femmes	96.18	Topic 27:éducation_enfance 	Topic 27:education_childhood	Topic 27:Ausbildung_Kindheit 	éducation
81	Charriere_Femmes	96.18	Topic 27:éducation_enfance 	Topic 27:education_childhood	Topic 27:Ausbildung_Kindheit 	enfance
82	Charriere_Femmes	96.18	Topic 23:famille	Topic 23:family	Topic 23:Familie	famille
83	Charriere_Femmes	96.18	Topic 14:interaction	Topic 14:interaction	Topic 14:Interaktion	interaction
84	Charriere_Lausanne	85.24	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	attraction
85	Charriere_Lausanne	85.24	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	personnalité
86	Charriere_Lausanne	85.24	Topic 28:nuit	Topic 28:night	Topic 28:Nacht	nuit
87	Charriere_Lausanne	85.24	Topic 23:famille	Topic 23:family	Topic 23:Familie	famille
88	Charriere_Lausanne	85.24	Topic 21:bonheur	Topic 21:happiness	Topic 21:Glück	bonheur
89	Charriere_Lausanne	85.24	Topic 11:correspondance	Topic 11:correspondence	Topic 11:Korrespondenz	correspondance
90	Constant_Laure1	86.27	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	attraction
91	Constant_Laure1	86.27	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	personnalité
92	Constant_Laure1	86.27	Topic 21:bonheur	Topic 21:happiness	Topic 21:Glück	bonheur
93	Constant_Laure1	86.27	Topic 11:correspondance	Topic 11:correspondence	Topic 11:Korrespondenz	correspondance
94	Constant_Laure1	86.27	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	Topic 0:[temps paraître encore]	[temps paraître encore]
95	Constant_Laure1	86.27	Topic 14:interaction	Topic 14:interaction	Topic 14:Interaktion	interaction
96	Constant_Laure2	86.27	Topic 22:attraction_personnalité 	Topic 22:attraction_personality	Topic 22:Anziehung_Persönlichkeit	attraction
